weight;frequency
1.0;3427542
0.5;1010529
0.3333333333333333;362758
0.25;192823
0.2;97590
0.16666666666666666;67224
0.14285714285714285;40621
0.125;30041
0.1111111111111111;21168
0.1;15829
0.09090909090909091;11261
0.08333333333333333;9595
0.07692307692307693;7266
0.07142857142857142;5851
0.06666666666666667;4826
0.0625;4039
0.058823529411764705;3348
0.05555555555555555;2837
0.05263157894736842;2315
0.05;2039
0.047619047619047616;1785
0.045454545454545456;1488
0.043478260869565216;1366
0.041666666666666664;1196
0.04;1064
0.038461538461538464;869
0.037037037037037035;850
0.03571428571428571;729
0.034482758620689655;673
0.03333333333333333;618
0.03225806451612903;541
0.03125;484
0.030303030303030304;407
0.029411764705882353;447
0.02857142857142857;369
0.027777777777777776;372
0.02702702702702703;315
0.02631578947368421;260
0.02564102564102564;258
0.025;238
0.024390243902439025;232
0.023809523809523808;211
0.023255813953488372;207
0.022727272727272728;170
0.022222222222222223;157
0.021739130434782608;137
0.02127659574468085;156
0.020833333333333332;147
0.02040816326530612;141
0.02;121
0.0196078431372549;106
0.019230769230769232;98
0.018867924528301886;101
0.018518518518518517;93
0.01818181818181818;71
0.017857142857142856;85
0.017543859649122806;75
0.017241379310344827;59
0.01694915254237288;71
0.016666666666666666;58
0.01639344262295082;67
0.016129032258064516;54
0.015873015873015872;58
0.015625;49
0.015384615384615385;51
0.015151515151515152;38
0.014925373134328358;40
0.014705882352941176;27
0.014492753623188406;48
0.014285714285714285;42
0.014084507042253521;33
0.013888888888888888;26
0.0136986301369863;26
0.013513513513513514;37
0.013333333333333334;30
0.013157894736842105;27
0.012987012987012988;22
0.01282051282051282;24
0.012658227848101266;19
0.0125;24
0.012345679012345678;11
0.012195121951219513;22
0.012048192771084338;19
0.011904761904761904;23
0.011764705882352941;21
0.011627906976744186;9
0.011494252873563218;10
0.011363636363636364;17
0.011235955056179775;12
0.011111111111111112;15
0.01098901098901099;12
0.010869565217391304;5
0.010752688172043012;9
0.010638297872340425;14
0.010526315789473684;8
0.010416666666666666;9
0.010309278350515464;9
0.01020408163265306;12
0.010101010101010102;6
0.01;12
0.009900990099009901;15
0.00980392156862745;8
0.009708737864077669;11
0.009615384615384616;10
0.009523809523809525;11
0.009433962264150943;3
0.009345794392523364;6
0.009259259259259259;4
0.009174311926605505;3
0.00909090909090909;5
0.009009009009009009;3
0.008928571428571428;8
0.008849557522123894;8
0.008771929824561403;6
0.008695652173913044;7
0.008620689655172414;4
0.008547008547008548;4
0.00847457627118644;3
0.008403361344537815;7
0.008333333333333333;5
0.008264462809917356;5
0.00819672131147541;5
0.008130081300813009;4
0.008064516129032258;3
0.008;4
0.007936507936507936;3
0.007874015748031496;8
0.0078125;4
0.007751937984496124;1
0.007692307692307693;3
0.007575757575757576;1
0.007518796992481203;1
0.007462686567164179;1
0.007407407407407408;1
0.007352941176470588;5
0.0072992700729927005;1
0.007246376811594203;3
0.007194244604316547;1
0.007142857142857143;2
0.0070921985815602835;2
0.006993006993006993;1
0.006944444444444444;6
0.006896551724137931;2
0.00684931506849315;2
0.006802721088435374;1
0.006756756756756757;4
0.006711409395973154;2
0.006622516556291391;1
0.006578947368421052;3
0.006535947712418301;1
0.006493506493506494;1
0.00641025641025641;1
0.006369426751592357;2
0.006329113924050633;2
0.006289308176100629;1
0.00625;2
0.006172839506172839;1
0.006134969325153374;2
0.006097560975609756;1
0.005988023952095809;1
0.005917159763313609;1
0.005847953216374269;1
0.005780346820809248;1
0.005747126436781609;1
0.005714285714285714;1
0.005681818181818182;2
0.0055248618784530384;2
0.005494505494505495;1
0.00546448087431694;1
0.005434782608695652;1
0.0053475935828877;1
0.005263157894736842;1
0.005208333333333333;1
0.005154639175257732;1
0.004975124378109453;1
0.0049504950495049506;1
0.0049261083743842365;1
0.004878048780487805;1
0.004784688995215311;1
0.004761904761904762;2
0.004739336492890996;1
0.004672897196261682;2
0.0045662100456621;1
0.004524886877828055;2
0.004424778761061947;1
0.0043859649122807015;1
0.004329004329004329;1
0.004201680672268907;2
0.003952569169960474;1
0.003875968992248062;1
0.0038314176245210726;1
0.0037593984962406013;1
0.003663003663003663;1
0.0035971223021582736;1
0.003484320557491289;1
0.0034602076124567475;1
0.003355704697986577;1
0.003289473684210526;1
0.003067484662576687;1
0.0028011204481792717;1
0.0027624309392265192;2
0.002717391304347826;1
0.0023923444976076554;1
