weight;frequency
1.0;229205
0.5;53113
0.3333333333333333;18722
0.25;9569
0.2;5022
0.16666666666666666;3356
0.14285714285714285;2160
0.125;1508
0.1111111111111111;1043
0.1;797
0.09090909090909091;567
0.08333333333333333;489
0.07692307692307693;400
0.07142857142857142;337
0.06666666666666667;270
0.0625;222
0.058823529411764705;184
0.05555555555555555;156
0.05263157894736842;106
0.05;102
0.047619047619047616;85
0.045454545454545456;73
0.043478260869565216;73
0.041666666666666664;57
0.04;70
0.038461538461538464;30
0.037037037037037035;42
0.03571428571428571;36
0.034482758620689655;27
0.03333333333333333;36
0.03225806451612903;26
0.03125;25
0.030303030303030304;11
0.029411764705882353;19
0.02857142857142857;16
0.027777777777777776;17
0.02702702702702703;17
0.02631578947368421;12
0.02564102564102564;13
0.025;10
0.024390243902439025;11
0.023809523809523808;7
0.023255813953488372;8
0.022727272727272728;7
0.022222222222222223;3
0.021739130434782608;6
0.02127659574468085;10
0.020833333333333332;4
0.02040816326530612;4
0.02;4
0.0196078431372549;4
0.019230769230769232;3
0.018867924528301886;3
0.018518518518518517;2
0.01818181818181818;5
0.017857142857142856;2
0.017543859649122806;3
0.017241379310344827;1
0.016666666666666666;2
0.01639344262295082;3
0.016129032258064516;1
0.015873015873015872;3
0.015625;4
0.015384615384615385;2
0.015151515151515152;1
0.014925373134328358;1
0.014705882352941176;3
0.014285714285714285;3
0.014084507042253521;1
0.0136986301369863;1
0.013513513513513514;1
0.013333333333333334;1
0.013157894736842105;1
0.012987012987012988;1
0.0125;1
0.012195121951219513;2
0.011904761904761904;1
0.011627906976744186;1
0.011363636363636364;1
0.011235955056179775;1
0.010752688172043012;2
0.010526315789473684;1
0.008771929824561403;1
